row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Family budgeting,,,,,,,,,,,,,,,4125c6e1-b280-42fe-a545-e222a66bb63d,,execute_actions,120;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,3fa5350c-86eb-44ab-bfe1-cc9ac05aae6c,,split_by_subflow,120;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,2efc1100-fd28-4502-8627-07e2bba5eb7a,,split_by_contact_field,120;280
4,send_message,3,,,,,,"Millions of families are struggling to make ends meet. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money is important. We can also learn about how we can save in ways that will benefit the family.",,,,,,,,,,,,,,,bcfbdeea-5d2e-43fa-9268-aca06fc4bfd8,,execute_actions,1820;260
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,c8fc554d-dcbc-4860-9387-2e2d4e7c180f,,split_by_contact_field,100;720
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you make a budget and save money together as a family.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/video/eng/Family_Budgeting.m4v,,99afc408-143f-40e6-948e-cbe79ae6a99f,,execute_actions,40;840
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Here's an audio message to help you make a budget and save money together as a family.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/voiceover/resourceType/audio/eng/Family_Budgeting.mp3,,,3008b9b2-c759-4e25-be36-5ef5a4fa534d,,execute_actions,1030;860
8,wait_for_response,6;7,,,,,Result 8,,,,,,,,,,,,,,,,75216cae-925a-4fc7-8d35-d9bc2d71ec19,60,wait_for_response,1030;1240
9,send_message,5;8;8,;;No Response,,,,,"Making a budget.
A budget is how we decide what we will spend our money on, even in stressful times. Making a budget can help you have enough at the end of the month so that you need to borrow less.",,,,,,,,,,,,,,,a3baabb7-3cb9-473f-9edc-a779e910f8b8,,execute_actions,1010;1380
10,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Philippines/resourceGroup/image/universal/adults_budgeting.jpg,,,,35d62fe8-5d36-4a02-b28d-aec0ecd495d4,,execute_actions,1640;540
