row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Family budgeting,,,,,,,,,,,,,,,fe88f99c-a50c-4c0e-a5c2-0c73a40ff3da,,execute_actions,80;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,cfcb5c99-febd-4605-a6eb-94be38bd0f94,,split_by_subflow,80;100
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,7db1a161-8f4e-4e2a-87db-8bcef184a55d,,split_by_contact_field,80;280
4,send_message,3,,,,,,"Millions of families are struggling to make ends meet. When money is tight, this can make us feel anxious, stressed, and sad. How we understand and talk about money with our children is important. Our children can also help us to spend and save in ways that will benefit the family.",,,,,,,,,,,,,,,e9da4d5f-c4f7-486e-bb1d-d5ddaebb54ea,,execute_actions,1350;260
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,8b875b11-0013-4e7c-bb47-199a3d1644ef,,split_by_contact_field,60;720
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you make a budget and save money together as a family.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Family_Budgeting.m4v,,fc5f0c28-754a-4b91-b8ca-6f5420db4a9b,,execute_actions,;840
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Here's an audio message to help you make a budget and save money together as a family.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Family_Budgeting.mp3,,,e7abcc90-3fcc-414e-9f8c-d191c52a939a,,execute_actions,990;880
8,wait_for_response,6;7,,,,,Result 8,,,,,,,,,,,,,,,,1793c61f-2c4f-44a6-a001-beb3384e43dc,120,wait_for_response,;1300
9,send_message,5;8;8,;;No Response,,,,,"Making a budget with your children and teens.
A budget is how we decide what we will spend our money on, even in stressful times. Making a budget together helps children understand that we all need to make hard decisions in difficult times. It can also help you have enough at the end of the month so that you need to borrow less.",,,,,,,,,,,,,,,43f7e379-0e05-4b0b-9db5-7429b13354ab,,execute_actions,1070;1460
10,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/family_budgeting.jpg,,,,d5fe39f5-f385-4ef3-bad3-eef5bdb9626e,,execute_actions,1350;560
