row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Taking a Pause,,,,,,,,,,,,,,,01ed46a9-4450-4c17-a102-4be9d7f55303,,execute_actions,730;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,8770a6ca-1cab-403e-b86e-0dc3b83255a8,,split_by_subflow,770;80
3,split_by_value,2;2,Complete;Expired,,,,,@fields.user_name,,,,,,,,,,,,,,,c3ae8707-9089-4be2-b182-6442c83a4f13,,split_by_expression,1555;300
4,split_by_value,3,,@fields.user_name,has_text,user_name,,@fields.gender_personalisation,,,,,,,,,,,,,,,11cfabb2-c4b5-4456-b402-0ba96095e28f,,split_by_expression,1180;500
5,send_message,4,man,@fields.gender_personalisation,has_any_word,man,,"Hello @fields.user_name! This is a stressful time, especially for fathers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,dff41d47-1a50-41c1-8b78-ceea87762416,,execute_actions,930;900
6,send_message,4,woman,@fields.gender_personalisation,has_any_word,woman,,"Hello @fields.user_name! This is a stressful time, especially for mothers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,537a508f-c8fa-4098-9fb8-438a58b968ab,,execute_actions,1180;900
7,send_message,4,,,,,,"Hello @fields.user_name! This is a stressful time, especially for parents. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,065acab2-ecfe-4e24-985f-0f2acf512fa8,,execute_actions,1430;900
8,split_by_value,3,,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,7c11c843-416c-42e6-b097-b49e9f435c76,,split_by_expression,1930;700
9,send_message,8,man,@fields.gender_personalisation,has_any_word,man,,"Hello! This is a stressful time, especially for fathers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,8fc285fd-266c-437f-abe4-c8fd59764c40,,execute_actions,1680;900
10,send_message,8,woman,@fields.gender_personalisation,has_any_word,woman,,"Hello! This is a stressful time, especially for mothers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,e5c5269f-870d-4859-a45c-0cb066d6927c,,execute_actions,1930;900
