row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,69b4cb40-76dd-495e-b53d-e9ec391889fa,,split_by_expression,320;
2,send_message,1,,@fields.user_name,has_text,user_name,,"Hello @fields.user_name! How are you feeling? If you are feeling overwhelmed or stressed, here's a fun activity that can also release some stress.",,,,,,,,,,,,,,,83397e05-0cfd-4561-858b-f6fbb74a9585,,execute_actions,195;200
3,send_message,1,,,,,,"Hello! How are you feeling? If you are feeling overwhelmed or stressed, here's a fun activity that can also release some stress.",,,,,,,,,,,,,,,7e8ef7c7-2522-406f-b087-273add14c8f4,,execute_actions,445;200
4,send_message,2;3,,,,,,Stand up and stretch your arms up to the sky. Push away any clouds and let the Sunshine of Positive Attention shine down on you. Stretch to both sides. Stretch to the front and to the back.,,,,,,,,,,,,,,,066badd7-c4b8-4ff2-a902-cb7352b4e224,,execute_actions,115;380
5,send_message,4,,,,,,"Let your hand hang by your side. As you breathe in, squeeze your shoulders up to your ears, scrunch your eyes, and hold your breath. Release your shoulders as you breathe out and relax your body.",,,,,,,,,,,,,,,2c3cb033-362f-4f81-bcd0-f14af639daa3,,execute_actions,135;940
6,send_message,5,,,,,,"Relax your arms and let them swing to the front and back. Take 4 deep breaths while you do this. This is good for your lower back.

Relax your arms and let your arms swing sideways as you turn your upper body. Your arms should gently hit your back as you twist from side to side.",,,,,,,,,,,,,,,26b81019-b84e-4c25-976b-0cc48980a0c2,,execute_actions,115;1180
7,send_message,6,,,,,,Place one foot in front of the other and make small circles from your ankles. Remember to turn your foot to both sides - to the left and then to the right. Do each foot with four circles in each direction.,,,,,,,,,,,,,,,61049016-1ba4-45c1-9540-54046298296d,,execute_actions,685;700
8,send_message,7,,,,,,Now shake your whole body as fast as you can. Shake it up high! Shake it down low! Shake it all around!,,,,,,,,,,,,,,,909e2ae6-71af-4ab6-bb73-332abeb29ddf,,execute_actions,685;900
9,send_message,8,,,,,,Close your eyes and raise your arms slowly above your head as you breathe in. Lower your arms slowly to your side as you breathe out. Repeat 4 times.,,,,,,,,,,,,,,,3a15fb8e-b7cf-4321-a594-4a5793f89d6c,,execute_actions,685;1100
10,send_message,9,,,,,,Take a moment to reflect on your experience. Remember that you can do this activity at any time whenever you feel like you need to release stress and energise your mind and body.,,,,,,,,,,,,,,,ba9b6e72-3e2a-4876-a11e-e0f5cee6022b,,execute_actions,665;1320
